COLOR WI,COLOR YI,ODOR LVL,VOLATILE,Antiblock Type,,AO2 Type,,AO1,AO2/AO1 Ratio,Acid Scavenger,Slip Agent,Gels Performance,,,,
52.560,-5.050,2.000,0.007,0.248,0.000,0.099,0.000,0.051,1.941,0.051,0.103,2.300,0.400,0.000,1.060,Non Low Gel
51.850,-4.840,2.000,0.031,0.242,0.000,0.099,0.000,0.049,2.020,0.049,0.114,2.800,0.400,0.000,1.150,Non Low Gel
52.900,-4.850,2.000,0.007,0.247,0.000,0.098,0.000,0.052,1.885,0.052,0.102,2.200,0.300,0.000,0.950,Low Gel
51.750,-4.950,2.000,0.010,0.243,0.000,0.096,0.000,0.049,1.959,0.049,0.109,5.100,0.500,0.000,2.010,Non Low Gel
52.920,-5.010,2.000,0.011,0.256,0.216,0.102,0.000,0.053,1.925,0.053,0.114,3.200,0.500,0.000,1.430,Non Low Gel
52.560,-5.090,2.000,0.027,0.252,0.000,0.100,0.000,0.051,1.961,0.051,0.120,1.600,0.300,0.000,0.770,Low Gel
52.880,-4.830,2.000,0.009,0.247,0.000,0.097,0.000,0.050,1.940,0.050,0.176,3.000,0.300,0.000,1.140,Low Gel
53.270,-5.270,2.000,0.009,0.239,0.216,0.097,0.000,0.050,1.940,0.050,0.176,5.000,0.800,0.000,2.420,Non Low Gel
53.490,-5.370,2.000,0.004,0.246,0.000,0.098,0.000,0.049,2.000,0.049,0.167,2.300,0.300,0.000,0.920,Low Gel
53.700,-5.030,2.000,0.011,0.245,0.000,0.100,0.000,0.051,1.961,0.051,0.107,3.600,0.400,0.000,1.000,Non Low Gel
53.640,-5.250,2.000,0.007,0.243,0.000,0.098,0.000,0.052,1.885,0.052,0.100,3.100,0.400,0.000,1.440,Non Low Gel
53.880,-5.240,2.000,0.007,0.240,0.000,0.100,0.000,0.051,1.961,0.051,0.110,5.200,0.700,0.000,2.170,Non Low Gel
54.110,-5.070,2.000,0.013,0.245,0.000,0.100,0.000,0.050,2.000,0.050,0.124,3.300,0.400,0.000,1.220,Non Low Gel
53.700,-5.310,2.000,0.011,0.237,0.000,0.100,0.000,0.050,2.000,0.050,0.116,3.000,0.400,0.000,1.450,Non Low Gel
54.530,-4.930,2.000,0.007,0.239,0.000,0.100,0.000,0.051,1.961,0.051,0.091,2.300,0.300,0.000,0.900,Low Gel
53.850,-4.750,2.000,0.018,0.236,0.000,0.098,0.000,0.051,1.922,0.051,0.103,2.600,0.400,0.000,1.170,Non Low Gel
52.920,-5.060,2.000,0.015,0.236,0.000,0.101,0.000,0.050,2.020,0.050,0.113,1.600,0.300,0.000,0.700,Low Gel
54.010,-4.960,2.000,0.009,0.236,0.000,0.098,0.000,0.050,1.960,0.050,0.115,4.400,0.400,0.000,1.410,Non Low Gel
53.170,-5.170,2.000,0.007,0.239,0.000,0.100,0.000,0.053,1.887,0.053,0.107,1.900,0.200,0.000,0.790,Low Gel
52.670,-5.190,2.000,0.016,0.239,0.000,0.100,0.000,0.051,1.961,0.051,0.119,1.700,0.200,0.000,0.750,Low Gel
52.670,-5.190,2.000,0.016,0.239,0.000,0.100,0.000,0.051,1.961,0.051,0.119,1.700,0.200,0.000,0.750,Low Gel
52.660,-5.100,2.000,0.019,0.235,0.000,0.098,0.000,0.050,1.960,0.050,0.109,1.800,0.200,0.000,0.830,Low Gel
53.520,-5.340,2.000,0.003,0.236,0.000,0.102,0.000,0.052,1.962,0.052,0.110,3.000,0.300,0.000,1.200,Low Gel
53.630,-5.120,2.000,0.008,0.236,0.000,0.100,0.000,0.049,2.041,0.049,0.117,2.300,0.500,0.000,1.350,Non Low Gel
53.490,-5.370,2.000,0.010,0.237,0.000,0.099,0.000,0.051,1.941,0.051,0.116,2.300,0.400,0.000,1.100,Non Low Gel
53.640,-5.250,2.000,0.009,0.235,0.000,0.099,0.000,0.051,1.941,0.051,0.110,2.700,0.400,0.000,1.230,Non Low Gel
54.240,-5.130,2.000,0.012,0.239,0.000,0.100,0.000,0.050,2.000,0.050,0.114,2.100,0.300,0.000,0.920,Low Gel
54.240,-5.480,2.000,0.013,0.247,0.000,0.102,0.000,0.052,1.962,0.052,0.109,4.100,0.700,0.000,2.100,Non Low Gel
52.920,-5.110,2.000,0.009,0.253,0.000,0.103,0.000,0.050,2.060,0.050,0.112,2.000,0.400,0.000,1.040,Non Low Gel
53.380,-5.060,2.000,0.009,0.244,0.000,0.100,0.000,0.049,2.041,0.049,0.114,2.000,0.300,0.000,1.030,Low Gel
55.030,-4.700,2.000,0.007,0.241,0.000,0.100,0.000,0.051,1.961,0.051,0.115,1.900,0.300,0.000,0.920,Low Gel
54.590,-4.960,2.000,0.007,0.243,0.000,0.099,0.000,0.051,1.941,0.051,0.118,3.600,0.500,0.000,1.490,Non Low Gel
54.400,-4.940,2.000,0.006,0.247,0.000,0.107,0.000,0.053,2.019,0.053,0.119,2.100,0.300,0.000,0.930,Low Gel
54.430,-4.930,2.000,0.009,0.247,0.000,0.099,0.000,0.047,2.106,0.047,0.114,2.400,0.300,0.000,0.970,Low Gel
54.610,-4.850,2.000,0.011,0.245,0.000,0.099,0.000,0.049,2.020,0.049,0.107,2.600,0.300,0.000,0.980,Low Gel
54.190,-5.220,2.000,0.006,0.242,0.000,0.098,0.000,0.048,2.042,0.048,0.119,4.300,0.500,0.000,1.790,Non Low Gel
54.390,-4.980,2.000,0.008,0.239,0.000,0.098,0.000,0.049,2.000,0.049,0.113,2.700,0.400,0.000,1.200,Non Low Gel
54.070,-4.820,2.000,0.007,0.237,0.000,0.099,0.000,0.048,2.063,0.048,0.106,3.900,0.500,0.000,1.620,Non Low Gel
53.500,-5.490,2.000,0.008,0.238,0.000,0.097,0.000,0.047,2.064,0.047,0.118,1.400,0.300,0.000,0.810,Low Gel
54.400,-5.310,2.000,0.015,0.243,0.000,0.098,0.000,0.049,2.000,0.049,0.120,2.500,0.300,0.000,0.990,Low Gel
53.590,-4.980,2.000,0.033,0.245,0.000,0.099,0.000,0.049,2.020,0.049,0.095,3.600,0.400,0.000,1.360,Non Low Gel
54.390,-5.060,2.000,0.010,0.242,0.000,0.097,0.000,0.048,2.021,0.048,0.109,1.600,0.300,0.000,0.940,Low Gel
52.230,-4.880,2.000,0.019,0.245,0.000,0.096,0.000,0.048,2.000,0.048,0.097,2.500,0.400,0.000,1.190,Non Low Gel
54.040,-5.090,2.000,0.005,0.261,0.000,0.103,0.000,0.049,2.102,0.049,0.096,1.900,0.300,0.000,0.790,Low Gel
52.810,-5.150,2.000,0.041,0.246,0.000,0.102,0.000,0.050,2.040,0.050,0.118,2.200,0.300,0.000,1.010,Low Gel
53.430,-5.180,2.000,0.019,0.245,0.000,0.099,0.000,0.048,2.063,0.048,0.106,1.400,0.300,0.000,0.710,Low Gel
53.500,-5.230,2.000,0.011,0.258,0.000,0.103,0.000,0.051,2.020,0.051,0.120,1.300,0.300,0.000,0.750,Low Gel
53.780,-4.800,2.000,0.009,0.255,0.000,0.099,0.000,0.050,1.980,0.050,0.119,1.300,0.200,0.000,0.610,Low Gel
54.460,-5.050,2.000,0.007,0.253,0.000,0.102,0.000,0.052,1.962,0.052,0.114,2.000,0.400,0.000,1.130,Non Low Gel
54.700,-5.110,2.000,0.008,0.255,0.000,0.102,0.000,0.051,2.000,0.051,0.100,1.600,0.200,0.000,0.640,Low Gel
54.090,-5.180,2.000,0.011,0.253,0.000,0.102,0.000,0.050,2.040,0.050,0.096,1.400,0.200,0.000,0.720,Low Gel
52.230,-5.000,2.000,0.011,0.257,0.000,0.102,0.000,0.052,1.962,0.052,0.108,2.600,0.400,0.000,1.110,Non Low Gel
54.330,-4.960,2.000,0.015,0.253,0.000,0.102,0.000,0.051,2.000,0.051,0.098,2.100,0.500,0.000,1.150,Non Low Gel
54.220,-5.430,2.000,0.009,0.248,0.000,0.101,0.000,0.049,2.061,0.049,0.096,6.600,1.200,0.000,3.520,Non Low Gel
53.740,-5.210,2.000,0.007,0.230,0.000,0.094,0.000,0.046,2.043,0.046,0.084,5.100,0.900,0.000,2.560,Non Low Gel
51.800,-5.070,2.000,0.005,0.228,0.000,0.092,0.000,0.045,2.044,0.045,0.082,4.600,0.900,0.000,2.560,Non Low Gel
53.320,-5.240,2.000,0.003,0.237,0.000,0.094,0.000,0.047,2.000,0.047,0.098,2.700,0.500,0.000,1.300,Non Low Gel
53.540,-5.480,2.000,0.008,0.240,0.000,0.095,0.000,0.045,2.111,0.045,0.091,4.100,0.800,0.000,2.150,Non Low Gel
54.000,-5.150,2.000,0.009,0.238,0.000,0.095,0.000,0.047,2.021,0.047,0.109,5.400,0.700,0.000,2.260,Non Low Gel
52.420,-5.190,2.000,0.009,0.247,0.000,0.096,0.000,0.050,1.920,0.050,0.103,2.500,0.300,0.000,1.040,Low Gel
52.320,-5.220,2.000,0.015,0.244,0.000,0.096,0.000,0.047,2.043,0.047,0.092,1.900,0.400,0.000,1.010,Non Low Gel
52.320,-5.270,2.000,0.011,0.245,0.000,0.098,0.000,0.049,2.000,0.049,0.115,3.200,0.500,0.000,1.440,Non Low Gel
52.880,-5.180,2.000,0.007,0.252,0.000,0.099,0.000,0.044,2.250,0.044,0.099,2.000,0.400,0.000,1.140,Non Low Gel
53.580,-5.020,2.000,0.010,0.246,0.000,0.096,0.000,0.046,2.087,0.046,0.100,3.700,0.500,0.000,1.650,Non Low Gel
53.900,-8.120,2.000,0.011,0.250,0.000,0.096,0.000,0.048,2.000,0.048,0.097,7.900,0.800,0.000,3.020,Non Low Gel
52.310,-5.120,2.000,0.013,0.254,0.000,0.098,0.000,0.049,2.000,0.049,0.090,1.800,0.200,0.000,0.740,Low Gel
53.220,-4.960,2.000,0.009,0.252,0.216,0.096,0.000,0.047,2.043,0.047,0.084,2.200,0.300,0.000,0.880,Low Gel
52.740,-5.330,2.000,0.006,0.000,0.204,0.094,0.000,0.045,2.089,0.045,0.104,2.600,0.400,0.000,1.130,Non Low Gel
53.050,-5.170,2.000,0.013,0.000,0.193,0.098,0.000,0.049,2.000,0.049,0.112,2.600,0.300,0.000,1.080,Low Gel
52.440,-5.080,2.000,0.017,0.000,0.197,0.097,0.000,0.048,2.021,0.048,0.096,2.200,0.300,0.000,0.850,Low Gel
52.810,-5.490,2.000,0.010,0.000,0.199,0.096,0.000,0.048,2.000,0.048,0.106,2.200,0.500,0.000,0.970,Non Low Gel
54.480,-5.440,2.000,0.013,0.000,0.200,0.094,0.000,0.048,1.958,0.048,0.102,2.500,0.500,0.000,1.360,Non Low Gel
53.760,-5.160,2.000,0.017,0.000,0.192,0.094,0.000,0.044,2.136,0.044,0.088,2.600,0.500,0.000,1.370,Non Low Gel
54.000,-5.260,2.000,0.023,0.000,0.188,0.092,0.000,0.043,2.140,0.043,0.090,2.200,0.400,0.000,1.080,Non Low Gel
54.030,-5.000,2.000,0.011,0.000,0.186,0.093,0.000,0.048,1.938,0.048,0.101,2.800,0.500,0.000,1.330,Non Low Gel
54.500,-5.180,2.000,0.008,0.000,0.187,0.097,0.000,0.050,1.940,0.050,0.103,2.600,0.400,0.000,1.040,Non Low Gel
53.780,-5.460,2.000,0.011,0.000,0.183,0.095,0.000,0.044,2.159,0.044,0.104,2.200,0.500,0.000,1.120,Non Low Gel
54.090,-5.040,2.000,0.012,0.000,0.182,0.094,0.000,0.047,2.000,0.047,0.119,2.100,0.200,0.000,0.840,Low Gel
51.100,-5.110,2.000,0.024,0.000,0.185,0.094,0.000,0.045,2.089,0.045,0.092,5.400,0.600,0.000,2.080,Non Low Gel
54.000,-5.460,2.000,0.027,0.000,0.188,0.096,0.000,0.049,1.959,0.049,0.097,2.500,0.500,0.000,1.330,Non Low Gel
54.490,-5.110,2.000,0.026,0.000,0.192,0.096,0.000,0.049,1.959,0.049,0.106,1.900,0.300,0.000,0.910,Low Gel
53.080,-5.240,2.000,0.021,0.000,0.192,0.096,0.000,0.050,1.920,0.050,0.109,2.500,0.500,0.000,1.140,Non Low Gel
54.110,-5.170,2.000,0.011,0.000,0.192,0.086,0.000,0.051,1.686,0.051,0.098,2.300,0.300,0.000,0.900,Low Gel
53.790,-5.330,2.000,0.021,0.000,0.180,0.098,0.000,0.049,2.000,0.049,0.098,2.800,0.500,0.000,1.410,Non Low Gel
54.100,-4.830,2.000,0.003,0.000,0.199,0.092,0.000,0.051,1.804,0.051,0.116,3.000,0.500,0.000,1.300,Non Low Gel
53.710,-4.900,2.000,0.004,0.000,0.199,0.103,0.000,0.051,2.020,0.051,0.112,2.100,0.300,0.000,0.940,Low Gel
54.070,-5.380,2.000,0.012,0.000,0.189,0.099,0.000,0.051,1.941,0.051,0.104,1.700,0.300,0.000,0.920,Low Gel
53.660,-5.190,2.000,0.009,0.000,0.186,0.098,0.000,0.043,2.279,0.043,0.108,4.800,0.800,0.000,2.330,Non Low Gel
53.830,-5.310,2.000,0.005,0.000,0.189,0.096,0.000,0.050,1.920,0.050,0.100,2.800,0.300,0.000,1.040,Low Gel
53.460,-5.300,2.000,0.017,0.000,0.195,0.097,0.000,0.049,1.980,0.049,0.114,2.500,0.400,0.000,1.130,Non Low Gel
53.960,-5.340,2.000,0.011,0.000,0.187,0.096,0.000,0.050,1.920,0.050,0.096,2.600,0.400,0.000,1.390,Non Low Gel
53.310,-5.070,2.000,0.031,0.000,0.191,0.097,0.000,0.051,1.902,0.051,0.110,3.400,0.300,0.000,1.250,Low Gel
53.200,-5.240,2.000,0.011,0.000,0.190,0.096,0.000,0.049,1.959,0.049,0.120,2.200,0.300,0.000,0.850,Low Gel
54.320,-5.310,2.000,0.011,0.000,0.189,0.098,0.000,0.051,1.922,0.051,0.106,2.400,0.300,0.000,0.940,Low Gel
53.400,-4.920,2.000,0.019,0.000,0.193,0.096,0.000,0.042,2.286,0.042,0.104,2.300,0.200,0.000,0.770,Low Gel
51.960,-4.880,2.000,0.009,0.000,0.176,0.000,0.113,0.046,2.457,0.046,0.116,4.100,0.400,0.000,1.380,Non Low Gel
53.440,-5.000,2.000,0.013,0.000,0.185,0.000,0.101,0.047,2.149,0.047,0.110,2.800,0.300,0.000,0.950,Low Gel
54.510,-5.500,2.000,0.029,0.000,0.188,0.000,0.103,0.049,2.102,0.049,0.120,1.900,0.300,0.000,0.830,Low Gel
53.640,-5.150,2.000,0.007,0.000,0.185,0.000,0.102,0.047,2.170,0.047,0.112,4.000,0.700,0.000,1.910,Non Low Gel
54.740,-5.270,2.000,0.007,0.000,0.182,0.000,0.106,0.047,2.255,0.047,0.097,2.000,0.300,0.000,0.960,Low Gel
53.570,-5.100,2.000,0.035,0.000,0.187,0.000,0.106,0.047,2.255,0.047,0.115,2.000,0.300,0.000,0.880,Low Gel
54.510,-4.980,2.000,0.016,0.000,0.187,0.000,0.112,0.048,2.333,0.048,0.098,2.000,0.300,0.000,0.790,Low Gel
52.700,-5.220,2.000,0.007,0.000,0.188,0.000,0.112,0.049,2.286,0.049,0.112,2.400,0.400,0.000,1.110,Non Low Gel
52.910,-4.990,2.000,0.011,0.000,0.188,0.000,0.112,0.047,2.383,0.047,0.114,2.300,0.500,0.000,1.260,Non Low Gel
52.570,-5.140,2.000,0.041,0.000,0.192,0.000,0.114,0.051,2.235,0.051,0.110,4.100,0.600,0.000,1.910,Non Low Gel
54.580,-4.710,2.000,0.010,0.000,0.190,0.000,0.115,0.050,2.300,0.050,0.120,2.200,0.200,0.000,0.840,Low Gel
54.290,-4.900,2.000,0.007,0.000,0.204,0.000,0.133,0.052,2.558,0.052,0.094,3.200,0.400,0.000,1.300,Non Low Gel
53.510,-4.940,2.000,0.005,0.000,0.194,0.000,0.128,0.050,2.560,0.050,0.112,4.400,0.600,0.000,1.960,Non Low Gel
53.520,-5.270,2.000,0.009,0.000,0.180,0.000,0.124,0.046,2.696,0.046,0.110,2.200,0.300,0.000,0.960,Low Gel
50.710,-5.130,2.000,0.007,0.000,0.189,0.000,0.125,0.050,2.500,0.050,0.107,4.700,0.400,0.000,1.750,Non Low Gel
53.730,-5.070,2.000,0.010,0.000,0.185,0.000,0.125,0.048,2.604,0.048,0.119,1.900,0.200,0.000,0.810,Low Gel
53.480,-4.670,2.000,0.007,0.000,0.193,0.000,0.125,0.046,2.717,0.046,0.116,2.500,0.300,0.000,1.190,Low Gel
52.390,-5.090,2.000,0.008,0.000,0.187,0.000,0.125,0.048,2.604,0.048,0.084,2.900,0.500,0.000,1.410,Non Low Gel
54.620,-5.040,2.000,0.005,0.000,0.200,0.000,0.124,0.047,2.638,0.047,0.110,2.400,0.300,0.000,1.000,Low Gel
53.460,-4.940,2.000,0.025,0.000,0.193,0.000,0.127,0.049,2.592,0.049,0.113,5.100,0.900,0.000,1.550,Non Low Gel
53.050,-5.110,2.000,0.006,0.000,0.194,0.000,0.125,0.047,2.660,0.047,0.118,2.000,0.200,0.000,0.700,Low Gel
53.500,-5.000,2.000,0.015,0.000,0.193,0.000,0.125,0.048,2.604,0.048,0.093,5.700,0.600,0.000,2.220,Non Low Gel
53.200,-4.830,2.000,0.009,0.000,0.184,0.000,0.126,0.048,2.625,0.048,0.102,2.400,0.400,0.000,1.110,Non Low Gel
51.570,-4.600,2.000,0.010,0.000,0.192,0.000,0.125,0.050,2.500,0.050,0.112,2.100,0.300,0.000,0.840,Low Gel
53.290,-4.940,2.000,0.019,0.000,0.183,0.000,0.124,0.048,2.583,0.048,0.114,2.600,0.300,0.000,1.060,Low Gel
53.910,-4.560,2.000,0.007,0.000,0.218,0.000,0.124,0.047,2.638,0.047,0.107,3.100,0.500,0.000,1.390,Non Low Gel
52.110,-5.110,2.000,0.011,0.000,0.187,0.000,0.125,0.048,2.604,0.048,0.113,2.700,0.400,0.000,1.250,Non Low Gel
52.750,-4.860,2.000,0.023,0.000,0.185,0.000,0.122,0.047,2.596,0.047,0.092,2.400,0.300,0.000,0.970,Low Gel
53.680,-5.370,2.000,0.007,0.000,0.200,0.000,0.124,0.049,2.531,0.049,0.107,2.500,0.500,0.000,1.180,Non Low Gel
54.400,-5.100,2.000,0.009,0.000,0.193,0.000,0.125,0.050,2.500,0.050,0.120,2.400,0.400,0.000,1.170,Non Low Gel
54.160,-5.100,2.000,0.027,0.000,0.194,0.000,0.123,0.049,2.510,0.049,0.090,3.100,0.700,0.000,1.700,Non Low Gel
54.020,-4.800,2.000,0.019,0.000,0.183,0.000,0.125,0.048,2.604,0.048,0.109,1.800,0.200,0.000,0.730,Low Gel
55.150,-5.100,2.000,0.004,0.000,0.199,0.000,0.129,0.050,2.580,0.050,0.112,4.100,0.600,0.000,1.710,Non Low Gel
53.740,-4.990,2.000,0.005,0.000,0.193,0.000,0.125,0.047,2.660,0.047,0.110,3.900,0.600,0.000,1.730,Non Low Gel
52.690,-5.420,2.000,0.014,0.000,0.188,0.000,0.126,0.048,2.625,0.048,0.103,5.700,0.800,0.000,2.430,Non Low Gel
52.800,-5.320,2.000,0.031,0.000,0.189,0.000,0.124,0.048,2.583,0.048,0.109,4.200,0.500,0.000,1.680,Non Low Gel
53.860,-4.980,2.000,0.010,0.000,0.185,0.000,0.125,0.050,2.500,0.050,0.118,4.600,0.700,0.000,2.050,Non Low Gel
53.120,-4.900,2.000,0.092,0.000,0.184,0.000,0.122,0.049,2.490,0.049,0.092,5.000,0.700,0.000,2.190,Non Low Gel
53.500,-5.610,2.000,0.009,0.000,0.187,0.000,0.122,0.049,2.490,0.049,0.095,4.100,0.400,0.000,1.490,Non Low Gel
53.090,-5.360,2.000,0.027,0.000,0.190,0.000,0.121,0.048,2.521,0.048,0.106,3.200,0.400,0.000,1.240,Non Low Gel
53.600,-4.920,2.000,0.035,0.000,0.188,0.000,0.123,0.051,2.412,0.051,0.112,3.100,0.400,0.000,1.370,Non Low Gel
53.950,-5.110,2.000,0.012,0.000,0.190,0.000,0.124,0.050,2.480,0.050,0.109,2.600,0.400,0.000,1.280,Non Low Gel
55.390,-5.140,2.000,0.002,0.000,0.195,0.000,0.127,0.052,2.442,0.052,0.120,3.400,0.600,0.000,1.620,Non Low Gel
54.260,-4.950,2.000,0.025,0.000,0.187,0.000,0.125,0.051,2.451,0.051,0.092,3.200,0.500,0.000,1.520,Non Low Gel
53.000,-5.060,2.000,0.014,0.000,0.187,0.000,0.124,0.051,2.431,0.051,0.120,2.900,0.400,0.000,1.270,Non Low Gel
53.940,-4.910,2.000,0.007,0.000,0.199,0.000,0.124,0.050,2.480,0.050,0.114,5.000,0.800,0.000,2.160,Non Low Gel
54.820,-5.320,2.000,0.017,0.000,0.191,0.000,0.126,0.050,2.520,0.050,0.116,3.100,0.400,0.000,1.350,Non Low Gel
54.010,-5.210,2.000,0.018,0.000,0.198,0.000,0.128,0.054,2.370,0.054,0.113,2.400,0.300,0.000,1.030,Low Gel
54.090,-4.940,2.000,0.004,0.000,0.191,0.000,0.126,0.052,2.423,0.052,0.113,2.900,0.400,0.000,1.330,Non Low Gel
51.760,-5.000,2.000,0.016,0.000,0.195,0.000,0.125,0.050,2.500,0.050,0.108,2.800,0.400,0.000,1.230,Non Low Gel
54.310,-5.280,2.000,0.026,0.000,0.190,0.000,0.124,0.050,2.480,0.050,0.106,1.800,0.300,0.000,0.840,Low Gel
53.050,-4.990,2.000,0.005,0.000,0.194,0.000,0.128,0.053,2.415,0.053,0.095,3.200,0.600,0.000,1.620,Non Low Gel
53.390,-4.940,2.000,0.021,0.000,0.196,0.000,0.129,0.053,2.434,0.053,0.105,3.800,0.600,0.000,1.790,Non Low Gel
53.770,-5.020,2.000,0.033,0.000,0.190,0.000,0.127,0.051,2.490,0.051,0.109,2.900,0.500,0.000,1.280,Non Low Gel
54.890,-5.740,2.000,0.031,0.000,0.190,0.000,0.127,0.052,2.442,0.052,0.108,2.500,0.300,0.000,1.140,Low Gel
55.150,-5.010,2.000,0.042,0.000,0.178,0.000,0.122,0.054,2.259,0.054,0.103,4.700,0.600,0.000,1.940,Non Low Gel
54.640,-5.330,2.000,0.019,0.000,0.154,0.000,0.123,0.052,2.365,0.052,0.118,8.800,1.500,0.000,4.290,Non Low Gel
