Acrylic (metacrylate),1190,74,6,3,34,1
Cellulose Acetate,1300,40,30,1.4,12,1
Cellulose Nitrate,1350,48,40,1.4,10,1
Nylon,1160,60,90,2.4,10,1
Polyethylene,950,25,50,0.7,2,1
Polypropylene,900,27,400,1.3,10,1
Polystyrene,1050,48,3,3.4,25,1
PTFE (fluoropolymer),2100,13,100,0.3,30,1
PVC,1330,48,200,3.4,20,1
"Acetals, glass filled",1600,60,6,7,27,2
"Epoxy resin, glass filled",1800,100,4,20,38,2
"Melamine formaldehyde, fabric filled",1800,80,6,7,38,2
"Phenol formaldehyde, mica filled (phenolic)",1800,40,0.5,25,36,2
"Urea formaldehyde, cellulose filled",1500,60,1,8,51,2